word,reading,meanings,level,example_ja,example_en
お休み,おやすみ,holiday; absence; rest; Good night,N1,明日はお休みです。,It is a holiday tomorrow.
お宮,おみや,Shinto shrine,N1,以前この辺りに小さなお宮があった。,There used to be a small shrine around here.
お供,おとも,attendant; companion,N1,お供します。,I will accompany you.
お菜,おかず,side dish; accompaniment for rice dishes,N1,,
お産,おさん,(giving) birth,N1,ケイちゃんはとても運がいいのよ。お産の時から、そうだったわ。,Kei's very lucky! He has been since his birth.
お使い,おつかい,errand,N1,ご遠慮なくお使いください。,Be my guest.
お邪魔します,おじゃまします,Excuse me for disturbing (interrupting) you,N1,お邪魔します。,"Hello, sorry for any trouble."
お手上げ,おてあげ,all over; given in; given up hope; bring to knees,N1,お手上げだ。,I'm at a complete loss!
お出でになる,おいでになる,to be,N1,,
お巡りさん,おまわりさん,policeman (friendly term),N1,お巡りさんに聞け！,Ask a policeman!
お世辞,おせじ,flattery; compliment,N1,お世辞がお上手ね。,You flatter me.
お先に,おさきに,before; ahead; previously,N1,お先にどうぞ。,After you.
お祖父さん,おじいさん,grandfather; male senior-citizen,N1,お祖父さんがかなり老衰している。,Grandfather is quite senile.
お祖母さん,おばあさん,grandmother; female senior-citizen,N1,お祖母さんの昔話は耳にたこができるほど聞かされた。,I've heard my grandma's stories so often that I'm heartily sick of them.
お早う,おはよう,Good morning,N1,なぜ、早くないのに、「お早う」というのでしょう？,"Why does one say ""Good day"" when the day is not good?"
お大事に,おだいじに,Take care of yourself,N1,どうぞお大事に。,Please take care of yourself.
お喋り,おしゃべり,chattering; talk; idle talk; chat; chitchat; gossip; chatty; talkative; chatterbox; blabbermouth,N1,私ってお喋りなの。,I talk a lot.
お八,おやつ,1.  (uk) between meal snack; afternoon refreshment; afternoon tea; 2.  mid-day snack,N1,,
お目出度う,おめでとう,(ateji) (int) (uk) Congratulations!; an auspicious occasion!,N1,,
お洒落,おしゃれ,smartly dressed; someone smartly dressed; fashion-conscious,N1,お洒落しなくてもいいのよ。,You don't have to dress up.
お襁褓,おむつ,diaper; nappy,N1,,
カーペット,,carpet,N1,床にカーペットを敷いた。,They laid the carpet on the floor.
ガイド,,tour guide,N1,そのガイドを咎めるな。,Don't blame the guide.
ガイドブック,,guidebook,N1,ガイドブックを過信しちゃいけない。,Don't rely too much on your guidebook.
カクテル,,cocktail,N1,あのカクテルは甘くて飲みやすいよ。,That cocktail is sweet and easy to drink.
がっくり,,heartbroken,N1,がっくりだよ。,I lost heart.
がっしり,,firmly; solidly; tough,N1,,
がっちり,,solidly built; tightly; shrewd; calculating,N1,,
カット,,cut; cutting,N1,布を斜めにカットします。,Cut the cloth diagonally.
カテゴリー,,category,N1,作家としての彼女は伝統的なカテゴリーのいずれにも当てはまらない。,"As a writer, she does not fit into any of the traditional categories."
カムバック,,comeback,N1,,
カメラマン,,cameraman,N1,私はカメラマンです。,I'm a photographer.
かも知れない,かもしれない,may; might; perhaps; may be; possibly,N1,来週には凍るかも知れない。,It may freeze next week.
がる,,feel,N1,温度が下がる。,The temperature falls.
カルテ,,(de:) (n) clinical records (de: Karte),N1,トムのカルテを見たことある？,Have you seen Tom's medical records?
ガレージ,,garage (at house),N1,ガレージは錆びている。,The garage has rusted.
カンニング,,cunning; cheat,N1,彼は生物の試験でカンニングした。,He cheated on the biology exam.
きちっと,,exactly; perfectly,N1,,
きっかり,,exactly; precisely,N1,１０時きっかりです。,It's ten o'clock sharp.
きっちり,,precisely; tightly,N1,私はきっちり３時間待った。,I have waited a full three hours.
きっぱり,,clearly; plainly; distinctly,N1,彼女はきっぱり断った。,She refused outright.
キャッチ,,catch,N1,ボールをキャッチしろ！,Catch the ball!
キャリア,,career; career government employee,N1,彼の職業上のキャリアは破綻していた。,His professional career was bankrupt.
クイズ,,quiz,N1,このクイズは全然分からない。,I can make nothing of this quiz.
くっきり,,distinctly; clearly; boldly,N1,,
ぐっと,,firmly; fast; much; more,N1,トムは悲鳴をぐっと堪えた。,Tom resisted the urge to scream.
くっ付く,くっつく,to adhere to; to keep close to,N1,,
くっ付ける,くっつける,to attach,N1,,
ぐらい,,approximately,N1,何時ぐらい？,About what time?
クラブ,,club; crab,N1,クラブで合宿がある。,There is a training camp with the club.
グラフ,,graph,N1,そのパラグラフは内容を重視しています。,The paragraph emphasises the message.
グレー,,grey; gray,N1,トムにはグレーの車がある。,Tom has a gray car.
クレーン,,crane,N1,クレーンを操縦するのには、勿論、免許が必要です。,"Of course, a license is needed to operate a crane."
ゲスト,,guest,N1,誰がゲストなの？,Who is the guest?
げっそり,,being disheartened; losing weight,N1,彼女、しばらく見ない間にげっそりと痩せちゃったけど、何か大きな病気でもしたのかな。,She's become very thin in the long time since I last saw her. I wonder if she's fallen seriously ill or something.
けれど,,but; however,N1,彼は若いけれど利口だ。,"Young as he is, he is clever."
ヶ月,かげつ,#NAME?,N1,約１ヶ月です。,It's about one month.
コーナー,,corner,N1,それから，最終コーナーで全力疾走に入った。,"And then, on the final turn, he began to sprint at full speed."
こだわる,,to fuss over; to be particular about; to be concerned about,N1,細かいことにこだわるな。,Don't split hairs.
この間,このあいだ,the other day; lately; recently,N1,この間彼に会った。,I met him the other day.
この頃,このごろ,recently,N1,この頃あなたらしくない。,You don't seem to be yourself these days.
コマーシャル,,a commercial,N1,テレビ番組にはコマーシャルが入る。,Television programs are interspersed with commercials.
コミュニケーション,,communication,N1,コミュニケーションは、大切よ。,Communication is important.
コメント,,comment,N1,失礼なコメントね！,What a rude comment!
コンタクト,,contact; contact lens,N1,コンタクト見つかった？,Did you find your contact lenses?
コンテスト,,contest,N1,彼はコンテストで名を挙げた。,He distinguished himself in the contest.
コントラスト,,contrast,N1,その洋服は赤と白のコントラストが美しい。,The dress has a beautiful contrast between red and white.
コントロール,,control,N1,コントロールを失い始めた。,I began to lose control.
コンパス,,compass,N1,コンパスは北を示す。,Compasses point north.
ご苦労様,ごくろうさま,Thank you very much for your....,N1,ご苦労様でした。,Thank you for your trouble.
ご座います,ございます,to be (polite); to exist,N1,「ありがとうご座います」「どう致しまして」,"""Thank you."" ""You're welcome."""
ご馳走,ごちそう,feast; treating (someone),N1,ご馳走様でした。,That was a delicious meal.
ご馳走さま,ごちそうさま,feast,N1,,
ご無沙汰,ごぶさた,not writing or contacting for a while,N1,ご無沙汰。元気？,It's been a while. How are you?
サイクル,,cycle,N1,リサイクルするの？,Do you recycle?
サイズ,,size,N1,ジャストサイズだよ。,It's just the right size.
さっと,,quickly; suddenly,N1,彼女は服をさっと着た。,She slipped into her clothes.
サボる,,to be truant; to be idle; to sabotage by slowness,N1,ちょくちょくサボるよ。,I often play truant.
さん,,Mr or Mrs,N1,妹さんは元気？,How's your sister?
サンキュー,,thank you,N1,,
サンタクロース,,Santa Claus,N1,サンタクロースは実在する。,Santa Claus exists.
し,,10^24 (kanji is JIS X 0212 kuten 4906); septillion (American); quadrillion (British),N1,何してるの？,What are you doing?
シート,,seat; sheet,N1,これがレシートです。,Here's my receipt.
ジーパン,,jeans (lit: jeans pants); dungarees,N1,普段はジーパンだよ。,I usually wear jeans.
しいんと,,silent (as the grave); (deathly) quiet,N1,,
しくじる,,to fail; to fall through; to blunder,N1,なす価値のあることはしくじる価値がある。,If a thing is worth doing it is worth doing badly.
システム,,system,N1,トムはシステムエンジニアだ。,Tom is a systems engineer.
シック,,chic,N1,ホームシックです。,I feel homesick.
じっくり,,deliberately; carefully,N1,物事をじっくり考える慎重派です。,I'm the type who likes to think things over very carefully.
シナリオ,,scenario,N1,最悪のシナリオは何ですか？,What's the worst case scenario?
しぶとい,,tenacious; stubborn,N1,彼は結構しぶといね。転んでもただでは起きぬ、いい根性しているよ。,He's a tenacious guy who always manages to come out on top. He's the kind of guy who can turn any situation to his advantage.
しまった,,Damn it!,N1,寝てしまった。,I fell asleep.
ジャズ,,jazz,N1,僕はジャズが好きだ。,I like jazz.
ジャンパー,,jacket; jumper,N1,おしゃれとは縁がなく、ジーパンにティーシャツ、ジャンパーといった格好で、駅まで自転車を走らせる。,"Unfashionable as it is, he rides his bike to the station dressed in jeans, a tee shirt, and a jacket."
ジャンプ,,jump,N1,ジャンプして！,Jump.
ジャンボ,,jumbo,N1,私はジャンボ機が離陸するのを見た。,I saw a jumbo jet take off.
ジャンル,,genre,N1,このジャンルの曲が好きです。,I like this kind of music.
じゃん拳,じゃんけん,rock-scissors-paper game,N1,,
ショー,,show,N1,いいショーでしたよ。,That was a good show.
ショック,,shock,N1,ショックでした。,I was shocked.
しょっちゅう,,always; constantly,N1,僕はしょっちゅう行きます。,I go often.
スタジオ,,studio,N1,スタジオに入れません。,We cannot go into the studio.
スチーム,,steam,N1,彼は私達のテニスチームに入っている。,He belongs to our tennis team.
ストライキ,,strike,N1,労働者達はストライキ中です。,The workers are on strike.
ストレス,,stress,N1,ストレスがたまってきたよ。,I'm feeling stressed.
ストロー,,straw,N1,ストローに穴は幾つあるでしょう？,How many holes are there in a straw?
ストロボ,,stroboscope (lit: strobo); strobe lamp; stroboscopic lamp,N1,ここでストロボ撮影をしてもいいですか。,Is it all right to use a flash here?
すばしこい,,nimble; smart; quick,N1,雀は動作が非常にすばしこい。,A sparrow is very alert in its movements.
ずばり,,decisively; decidedly; once and for all; unreservedly; frankly,N1,その問題についての彼の意見はずばり的を射ている。,His remarks on the subject are much to the point.
スピード,,speed,N1,スピードを落とせ！,Slow down!
スプリング,,spring,N1,ホワイト氏はスプリングフィールドのあるホテルの支配人でした。,Mr White was the manager of a hotel in Springfield.
ずぶ濡れ,ずぶぬれ,soaked; dripping wet,N1,ずぶ濡れじゃないか。,You're soaking wet.
スペース,,space,N1,サイバースペースへようこそ。,Welcome to Cyberspace!
スポーツカー,,sports car,N1,彼はスポーツカーのマニアだ。,He has mania for sports cars.
スラックス,,slacks,N1,彼のスラックスはしわくちゃだ。,His slacks are all wrinkled.
ずらっと,,in a line; in a row,N1,,
ずるずる,,sound or act of dragging; loose; inconclusive but unwanted situation; trailingly,N1,私はぬかるんだ斜面をずるずると滑り下りた。,I slithered down the muddy slope.
ずれ,,gap; slippage,N1,千円札くずれますか。,Can you break a 1000 yen bill?
ずれる,,to slide; to slip off,N1,来週天気がくずれることはないでしょう。,I do not believe the weather will change for the worse next week.
すれ違う,すれちがう,to pass by one another; to disagree; to miss each other,N1,彼女は通りですれ違う時に私に微笑みかけた。,She smiled at me as she passed me in the street.
すんなり,,pass with no objection; slim; slender,N1,,
セール,,sale,N1,夏物は今セール中です。,The summer goods are now on sale.
セクション,,section,N1,この論評の最初のセクションでは、脳のプロセスがどのように我々の意識経験を引き起こすかという問題を提起する。,In the first section of this review I raise the question of how brain processes cause our conscious experiences.
セックス,,sexual intercourse,N1,愛のないセックスはあり？,Is sex possible without love?
ゼリー,,1.  jelly; 2.  Jerry,N1,彼の好きなのはゼリーです。,It is jelly that he likes.
セレモニー,,ceremony,N1,セレモニーには出席できませんでした。,I couldn't attend the ceremony.
センス,,good sense (for music  style  tact  etc.),N1,センスが全然ないわ。,You have absolutely no fashion sense.
ソース,,source,N1,ソースとって！,Pass the sauce!
ソックス,,socks,N1,ソックス、裏返しよ。,Your socks are inside out.
その為,そのため,hence; for that reason,N1,,
その外,そのほか,besides; in addition; the rest,N1,その外人はスコットランド出身だ。,The foreigner comes from Scotland.
その上,そのうえ,in addition; furthermore,N1,その上に座るな。,Don't sit on it.
その内,そのうち,eventually; sooner or later; of the previously mentioned,N1,その内訳は？,Give me the details.
ソロ,,solo,N1,今どきソロバンを使う人なんてほとんどいやしないよ。,Few people use an abacus these days.
ぞんざい,,rude; careless; slovenly,N1,彼は引き出しに物をぞんざいに押し込んだ。,He put his things carelessly in the drawer.
ダース,,dozen,N1,卵が半ダースある。,We have a half-dozen eggs.
タイトル,,title,N1,その本のタイトルは何ですか。,What is the title of the book?
タイピスト,,typist,N1,彼女はタイピストです。,She is a typist.
タイマー,,timer,N1,タイマー機能は使わない。,I don't use the timer function.
タイミング,,timing,N1,いいタイミングだ。,Nice timing.
タイム,,time,N1,ちょっとタイム。,I'll take a time-out.
タイムリー,,timely; run-batted-in (baseball); RBI,N1,もし彼のタイムリーヒットがなかったら、私たちのチームは試合に負けていただろう。,"If it had not been for his timely hit, our team would have lost the game."
タイヤ,,tire; tyre,N1,タイヤは大丈夫？,Are your tires OK?
タイル,,tile,N1,タイルはぴかぴか。,The tiles are shiny.
ダウン,,down,N1,彼は風邪でダウンした。,He came down with a cold.
たった,,only; merely; but; no more than,N1,暑さにあたった。,I was affected by the summer heat.
だぶだぶ,,loose; baggy,N1,このズボンはだぶだぶだ。,These trousers are too large.
ダブる,,to coincide (fall on the same day); to have two of something; to repeat a school year after failing,N1,祭日が日曜にダブると月曜が休みになる。,"When a holiday falls on Sunday, we have an extra holiday on Monday."
だらけ,,implying (negatively) that something is full of  e.g. mistakes,N1,血だらけだよ。,There's blood everywhere.
タレント,,talent; star; personality,N1,一番好きなテレビタレントは誰？,Who is your favourite TV star?
タワー,,tower,N1,東京タワーには行ったの？,Did you visit the Tokyo Tower?
ダンプ,,dump,N1,ダンプカーと正面衝突したタクシーはぐしゃぐしゃになった。,The taxi collided head-on with a dump truck and was badly crushed.
チームワーク,,teamwork,N1,それぞれの筋肉が完璧なチームワークを示す。,Each muscle shows perfect teamwork.
チェンジ,,change,N1,イメージチェンジをしたい。,I'd like to change my image.
チャイム,,chime,N1,チャイムが鳴ったね。,The door bell has rung.
ちやほや,,pamper; make a fuss of; spoil,N1,,
チャンネル,,a channel,N1,チャンネル変えてよ！,Change the channel!
ちょくちょく,,often; frequently; now and then; occasionally,N1,ちょくちょくサボるよ。,I often play truant.
ちらっと,,at a glance; by accident,N1,彼をちらっと見た。,I caught a glimpse of him.
ティッシュペーパー,,tissue paper,N1,,
データ,,data,N1,きゃ〜、データが消えた！,"Oh, I lost the data!"
でかい,,huge,N1,あの犬、でかいな。,That dog is big.
デコレーション,,decoration,N1,,
デザート,,dessert,N1,デザートが欲しい？,Do you want some dessert?
デザイン,,design,N1,彼がその車をデザインした。,He designed the car.
てっきり,,surely; certainly; beyond doubt,N1,,
デッサン,,(fr:) (n) rough sketch (fr: dessin),N1,私たちはその少年のデッサンのすばらしさに驚嘆した。,We were amazed at the excellence of the boy's drawings.
デモンストレーション,,demonstration,N1,７地区で新製品のデモンストレーションを行い、成功しました。,Successfully demonstrated a new product in 7 districts.
テレックス,,telex; teletypewriter exchange,N1,テレックスでご返事ください。,Please answer by telex.
てんで,,(not) at all; altogether; entirely,N1,てんで役にたたない。,It's no use at all.
と,,1.  if (conjunction); 2.  promoted pawn (shogi) (abbr),N1,美徳と悪徳。,Virtue and vice.
どうぞ宜しく,どうぞよろしく,pleased to meet you,N1,どうぞ宜しくお願い申し上げます。,Thank you very much for the consideration you will give to our request.
どうにか,,in some way or other; one way or another,N1,どうにか泳げます。,I can hardly swim.
どうやら,,it seems like; somehow or other,N1,彼はどうやら正しいようだ。,I have a feeling he is right.
トーン,,tone,N1,,
ドライ,,dry,N1,ドライブとかどう？,What do you say to going for a drive?
ドライクリーニング,,dry cleaning,N1,タールがどうしても落ちない。このスカートはドライクリーニングに出さなきゃならないだろう。,The tar won't come off. I'm going to have to take this skirt to the dry cleaner.
ドライバー,,driver; screwdriver,N1,これは、ドライバーだよ。,This is a screwdriver.
ドライブイン,,drive in,N1,次のドライブインで休憩していこう。,Let's turn off at the next rest stop.
トラブル,,trouble (sometimes used as a verb),N1,私はトラブルに巻き込まれた。,I was involved in the trouble.
トランジスター,,transistor,N1,トランジスターの発明は新時代を画した。,The invention of the transistor marked a new era.
ドリル,,drill,N1,これはドリルではない。,This isn't a drill.
とんだ,,terrible; awful; serious; preposterous; absolutely not,N1,,
ナイター,,game under lights (e.g. baseball) (lit: nighter); night game,N1,私はよくテレビでナイターを見る。,I often watch night games on TV.
ナプキン,,napkin,N1,ナプキンを頂けますか。,"May I have a napkin, please?"
なんか,,things like ...; or something like that .. (often derogatory),N1,なんか言った？,Did you say something?
ナンセンス,,nonsense,N1,これは、俺にはナンセンスだね。,This makes no sense to me.
なんだかんだ,,something or other,N1,,
にも拘らず,にもかかわらず,in spite of; nevertheless,N1,生活苦であったにも拘らず、彼ほど良い生き方をした人を私は見たことがない。,"I've never seen someone have such a good life, despite all the struggles he had."
ニュアンス,,nuance,N1,その言葉には微妙なニュアンスがある。,This word has a subtle nuance to it.
ニュー,,new,N1,ニュースがもれた。,The news leaked out.
ネガ,,(photographic) negative,N1,ネガティブな性格直したいな。,I want to fix my negative personality.
ねじ回し,ねじまわし,screwdriver,N1,,
ノイローゼ,,(de:) (n) neurosis (de: Neurose),N1,ノイローゼになるかと思ったわ。,I thought I was going to have a nervous breakdown.
バー,,bar,N1,トムはバーにいた。,Tom was at the bar.
パジャマ,,pajamas; pyjamas,N1,彼はパジャマ姿だ。,He is in pajamas.
パチンコ,,pachinko (Japanese pinball),N1,彼がパチンコするなんて絶対にないよ。,He wouldn't be caught dead playing pachinko.
バッジ,,badge,N1,誰か僕のバッジ見なかった？,Has anyone seen my badge?
バット,,bat; vat,N1,彼は速球をバットで打った。,He hit a speed ball with his bat.
ばてる,,to be exhausted; to be worn out,N1,,
パトカー,,patrol car,N1,パトカーが必要です。,I need a police car.
ハンガー,,hangar; (coat) hanger; hunger,N1,ハンガーをください。,I need some hangers.
パンク,,1.  (abbr) puncture; bursting; 2.  punk,N1,畜生、パンクだ。,Shit! I've got a flat.
ビールス,,virus,N1,,
ビジネス,,business,N1,父はビジネスマンです。,My father is a businessman.
びっしょり,,wet through; drenched,N1,彼は汗びっしょりだった。,He was covered with sweat.
ひょっと,,possibly; accidentally,N1,ひょっとして彼女と会ったの？,Do you mean you met her!?
びり,,last on the list; at the bottom,N1,のんびり行こう。,Take it easy.
ヒント,,hint,N1,ヒントをください。,Give me a hint.
ファイト,,fight,N1,ファイトだ。,Don't give up the fight.
ファイル,,file,N1,ファイルが開かない。,The file doesn't open.
ファン,,fan; fun,N1,トムの大ファンなの。,I'm a big fan of Tom.
フィルター,,(camera) filter,N1,乾燥機を動かす前には、フィルターの掃除を確実に行ってください。さもないと火災を招く可能性があります。,"Be sure to clear the lint trap before you run the dryer. Otherwise, you might start a fire."
ブーツ,,boots,N1,ブーツは脱いで。,Take off your boots.
ブーム,,boom,N1,大ブームです。,It's all the rage.
フェリー,,ferry,N1,フェリーで行くそうよ。,She's going by ferry.
フォーム,,foam; form,N1,リフォームに結構お金がかかった。,I spent a lot of money remodeling my house.
ぶかぶか,,too big; baggy,N1,このズボン、ぶかぶかだよ。,These trousers are too large.
ブザー,,buzzer,N1,ブザーがなった。,The buzzer sounded.
ぶらぶら,,dangle heavily; swing; sway to and fro; aimlessly; idly; lazily; loiter; loaf; be idle; stroll idly,N1,暇潰しに街をぶらぶらした。,I strolled along the streets to kill time.
ぶら下げる,ぶらさげる,to hang; to suspend; to dangle; to swing,N1,,
ブルー,,blue,N1,一日中ブルーだった。,I was feeling blue all day.
フロント,,front,N1,フロントの番号は一番です。,The number of the front desk is No 1.
ふんだん,,plentiful; abundant; lavish,N1,,
ペア,,pair; pear,N1,スペアキーってある？,Do you have a spare key?
ベース,,base; bass,N1,彼女は、あのベースが好き。,She likes that bass.
ぺこぺこ,,fawn; be very hungry,N1,お腹がぺこぺこです。,I'm starved.
ベスト,,best; vest,N1,ベストを尽くせ。,Do your best.
ベストセラー,,best-seller,N1,有名作家はまたベストセラー書を著した。,The famous author created another best-selling book.
ボイコット,,boycott,N1,彼はバスのボイコット運動を組織したのである。,He organized a boycott of the bus service.
ポイント,,point,N1,ポイントカードはお持ちですか？,Do you have a points card?
ホース,,hose,N1,彼はホースを使って庭に水を撒いていました。,He was watering his garden with a hose.
ポーズ,,pause,N1,トムにプロポーズされた。,Tom proposed to me.
ホール,,hall; hole,N1,ホールは満員だった。,The hall was filled to capacity.
ポジション,,position,N1,僕はバスケットボールチームの最後のポジションの申し込みをしようとスポーツ事務所へ行ったが、誰かが先を越してしまった。,"I went down to the sports office to sign up for the last position on the basketball team, but somebody else beat me to it."
ほっと,,feel relieved,N1,ほっといてよ！,Leave me alone!
ポット,,pot,N1,スポットも行ったの？,"Did Spot go, too?"
ぼつぼつ,,gradually; here and there; spots; pimples,N1,,
ぼやく,,to grumble; to complain,N1,,
ぼやける,,to become dim; to become blurred,N1,,
ボルト,,volt; bolt,N1,ボルトがバカになってる。,The bolt is not working.
ポンプ,,pump,N1,心臓とポンプは似かよっている。,The human heart is analogous to a pump.
マーク,,mark,N1,デンマークは監獄だ。,Denmark’s a prison.
まごつく,,to be confused; to be flustered,N1,,
マスコミ,,mass communication,N1,マスコミが報道しなかったのはなぜ？,Why is it the mass media didn't report this?
マッサージ,,massage,N1,私にはマッサージが必要だ。,I really need a massage.
ミスプリント,,misprint,N1,ミスプリントのないような本はほとんどない。,There are few books without misprints.
ミセス,,Mrs.,N1,,
ミュージック,,music,N1,トムはポップミュージックが好きだ。,Tom likes pop music.
ミリ,,milli-; 10^-3,N1,エミリーってだれ？,Who's Emily?
ムード,,mood,N1,トムはムードメーカーだった。,Tom was the life of the party.
メーカー,,maker,N1,トムはムードメーカーだった。,Tom was the life of the party.
メッセージ,,message,N1,メッセージ残しておいたよ。,I left you a message.
メディア,,media,N1,メディアが憎悪の痕跡を安売りする。,The media sells a trace of hatred at bargain prices.
メロディー,,melody,N1,彼はメロディーを口笛で吹き始めた。,He began to whistle a tune.
モーテル,,motel,N1,モーテルに関する情報をください。,I'd like some information on motels.
モニター,,(computer) monitor,N1,私はモニターの文字を読む事が困難です。,I'm having trouble reading the letters on the monitor.
もろに,,completely; all the way,N1,彼はもろに壁にぶつかった。,He ran sheer into the wall.
やっ付ける,やっつける,to beat,N1,,
ややこしい,,puzzling; tangled; complicated; complex,N1,この世界はややこしい。,This world is difficult.
やり遂げる,やりとげる,to accomplish,N1,一日かかってもやり遂げる。,We'll finish it if it takes us all day.
ヤング,,young,N1,ヤング先生はとても優しい。,Miss Young is very kind.
ゆとり,,reserve; affluence; room; time (to spare),N1,彼には結婚するゆとりはない。,He cannot afford to marry.
ユニーク,,unique,N1,彼のユニークな建築スタイルの誕生についての歴史的研究である。,This is a historical examination of the birth of his unique architectural style.
ユニフォーム,,uniform,N1,警官は青いユニフォームを着ている。,Police officers wear blue uniforms.
ライス,,rice,N1,オムライスを食べた。,I ate an Omurice.
ラベル,,label,N1,私はラベルを読みます。,I read the label.
ランプ,,lamp; ramp; headlight; light,N1,トランプは面白い。,Playing cards is fun.
ルーズ,,loose,N1,彼女はいつも時間にルーズだ。,She is always careless about time.
ルール,,rule,N1,ルール違反だぞ。,You're breaking the rules.
レース,,race; lace,N1,彼はレースに参加した。,He took part in the race.
レギュラー,,regular,N1,レギュラー満タン、現金で。,Fill her up with regular. I'll be paying in cash.
レクリエーション,,recreation,N1,スキーをすることは良いレクリエーションである。,Skiing is a good form of recreation.
レッスン,,lesson,N1,彼女はレッスンを休んだ。,She absented herself from the lesson.
レディー,,lady,N1,彼女は、オフィスレディーです。,She is an office lady.
レバー,,lever; liver,N1,レバーを押しあげて下さい。,Please push up the lever.
レンジ,,range; stove,N1,レンジ使える？,Can you use a microwave?
レンタカー,,hire car (lit: rent-a-car),N1,レンタカーです。,It's a rented car.
レントゲン,,X-ray (lit: Roentgen),N1,歯のレントゲンを撮りますね。,I'll take some X-rays of your teeth.
ロープ,,rope,N1,ロープを放すな。,Don't let go of the rope.
ローマ字,ローマじ,romanization; Roman letters,N1,日本語を入力する時って、ひらがな入力してる？それともローマ字入力？,"When you type in Japanese, are you using hiragana input, or romaji input?"
ロマンチック,,romantic,N1,とってもロマンチックだな～！,It's very romantic!
ワット,,watt,N1,1日300回のスクワット？そんなの絶対無理！,300 squats a day? That's completely impossible!
亜科,あか,suborder; subfamily,N1,,
愛でたい,めでたい,auspicious,N1,,
愛想,あいそ,civility; courtesy; compliments; sociability; graces,N1,彼には愛想が尽きた。,I am disgusted with him.
